State,City,Population,Portal_URL,Platform,Status,Notes,Last_Checked,Checkbox,Query_Where,BBox_WGS84
Pennsylvania,Pittsburgh,300000,https://pghgishub-pittsburghpa.opendata.arcgis.com,ArcGIS,Working,,2024-05,
Tennessee,Nashville,680000,https://data.nashville.gov,ArcGIS,Working,ArcGIS Hub catalog verified; migrated from Socrata label,2026-08-25,
Texas,Houston,2300000,https://data.houstontx.gov,Socrata,Working,,2024-05,
Texas,Dallas,1300000,https://www.dallasopendata.com,Socrata,Working,,2024-05,
Texas,Austin,980000,https://data.austintexas.gov,Socrata,Working,,2024-05,
Texas,Corpus Christi,320000,https://gis-cc.opendata.arcgis.com,ArcGIS,Working,ArcGIS Hub catalog verified; added 2026-08-25,2026-08-25,
Texas,San Antonio,1450000,https://data.sanantonio.gov,Socrata,Working,,2024-05,
Texas,Fort Worth,920000,https://data.fortworthtexas.gov,ArcGIS,Working,ArcGIS Hub catalog verified; migrated from Socrata label,2026-08-25,
Texas,College Station,123000,https://data.cstx.gov,Socrata,Working,Socrata API verified; corrected platform from supplied ArcGIS label,2026-08-25,
Virginia,Alexandria,160000,https://geoportal.alexandriava.gov/portal,ArcGIS,Working,ArcGIS Enterprise Portal API verified; added 2026-08-25,2026-08-25,
Virginia,Arlington County,240000,https://arlgis.arlingtonva.us/portal,ArcGIS,Working,Official ArcGIS Enterprise portal verified; includes parks trees ADA ramps and walking network,2026-08-25,
Virginia,Richmond,230000,https://data.richmondgov.com,Socrata,Working,,2024-05,
Washington,Seattle,750000,https://data.seattle.gov,Socrata,Working,,2024-05,
Washington,Spokane,230000,https://data-spokane.opendata.arcgis.com,ArcGIS,Working,ArcGIS Hub catalog verified; added 2026-08-25,2026-08-25,
